task_id -- core -- memory -- virtual_memory -- disk -- time -- average_cores -- tag
82 -- 1 -- 256 -- 0 -- 670 -- 15.748 -- 0 -- 2
83 -- 1 -- 279 -- 0 -- 670 -- 18.696 -- 0 -- 2
84 -- 1 -- 240 -- 0 -- 670 -- 16.959 -- 0 -- 2
85 -- 1 -- 284 -- 0 -- 670 -- 18.289 -- 0 -- 2
86 -- 1 -- 269 -- 0 -- 670 -- 19.135 -- 0 -- 2
87 -- 1 -- 285 -- 0 -- 670 -- 20.51 -- 0 -- 2
88 -- 1 -- 254 -- 0 -- 670 -- 18.01 -- 0 -- 2
89 -- 1 -- 263 -- 0 -- 670 -- 16.582 -- 0 -- 2
90 -- 1 -- 240 -- 0 -- 670 -- 22.305 -- 0 -- 2
91 -- 1 -- 275 -- 0 -- 670 -- 28.434 -- 0 -- 2
92 -- 1 -- 271 -- 0 -- 670 -- 18.058 -- 0 -- 2
93 -- 1 -- 243 -- 0 -- 670 -- 18.054 -- 0 -- 2
94 -- 1 -- 254 -- 0 -- 670 -- 18.765 -- 0 -- 2
95 -- 1 -- 251 -- 0 -- 670 -- 15.694 -- 0 -- 2
96 -- 1 -- 234 -- 0 -- 670 -- 17.971 -- 0 -- 2
97 -- 1 -- 248 -- 0 -- 670 -- 16.128 -- 0 -- 2
98 -- 1 -- 240 -- 0 -- 670 -- 15.69 -- 0 -- 2
99 -- 1 -- 281 -- 0 -- 670 -- 27.236 -- 0 -- 2
100 -- 1 -- 278 -- 0 -- 670 -- 18.695 -- 0 -- 2
101 -- 1 -- 279 -- 0 -- 670 -- 26.576 -- 0 -- 2
102 -- 1 -- 258 -- 0 -- 670 -- 26.737 -- 0 -- 2
103 -- 1 -- 279 -- 0 -- 670 -- 25.426 -- 0 -- 2
104 -- 1 -- 247 -- 0 -- 670 -- 27.175 -- 0 -- 2
105 -- 1 -- 242 -- 0 -- 670 -- 29.224 -- 0 -- 2
106 -- 1 -- 281 -- 0 -- 670 -- 25.496 -- 0 -- 2
107 -- 1 -- 285 -- 0 -- 670 -- 25.405 -- 0 -- 2
108 -- 1 -- 253 -- 0 -- 670 -- 28.088 -- 0 -- 2
109 -- 1 -- 280 -- 0 -- 670 -- 29.207 -- 0 -- 2
110 -- 1 -- 239 -- 0 -- 670 -- 24.345 -- 0 -- 2
111 -- 1 -- 267 -- 0 -- 670 -- 28.041 -- 0 -- 2
112 -- 1 -- 247 -- 0 -- 670 -- 27.621 -- 0 -- 2
113 -- 1 -- 282 -- 0 -- 670 -- 27.376 -- 0 -- 2
114 -- 1 -- 261 -- 0 -- 670 -- 17.236 -- 0 -- 2
115 -- 1 -- 263 -- 0 -- 670 -- 15.911 -- 0 -- 2
116 -- 1 -- 282 -- 0 -- 670 -- 26.331 -- 0 -- 2
117 -- 1 -- 266 -- 0 -- 670 -- 25.597 -- 0 -- 2
118 -- 1 -- 250 -- 0 -- 670 -- 28.25 -- 0 -- 2
119 -- 1 -- 249 -- 0 -- 670 -- 27.045 -- 0 -- 2
120 -- 1 -- 259 -- 0 -- 670 -- 28.307 -- 0 -- 2
121 -- 1 -- 285 -- 0 -- 670 -- 28.4 -- 0 -- 2
122 -- 1 -- 265 -- 0 -- 670 -- 24.668 -- 0 -- 2
123 -- 1 -- 248 -- 0 -- 670 -- 28.192 -- 0 -- 2
124 -- 1 -- 265 -- 0 -- 670 -- 29.337 -- 0 -- 2
125 -- 1 -- 287 -- 0 -- 670 -- 29.21 -- 0 -- 2
126 -- 1 -- 255 -- 0 -- 670 -- 24.51 -- 0 -- 2
127 -- 1 -- 251 -- 0 -- 670 -- 24.172 -- 0 -- 2
128 -- 1 -- 279 -- 0 -- 670 -- 24.949 -- 0 -- 2
