taskid -- core -- memory -- virtual_memory -- disk -- time -- average_cores
138 -- 2 -- 9293 -- 359155 -- 5 -- 301.897636 -- 1.67
139 -- 2 -- 8790 -- 359039 -- 5 -- 300.782869 -- 1.69
141 -- 2 -- 7200 -- 359064 -- 5 -- 290.442643 -- 1.65
84 -- 1 -- 3117 -- 358923 -- 6 -- 736.16983 -- 0.76
86 -- 1 -- 4023 -- 359165 -- 7 -- 737.4122630000001 -- 0.796
135 -- 2 -- 23930 -- 359001 -- 8 -- 420.982987 -- 1.17
145 -- 3 -- 9329 -- 359132 -- 5 -- 283.458534 -- 2.09
146 -- 2 -- 9219 -- 359507 -- 5 -- 283.005545 -- 1.687
149 -- 3 -- 8588 -- 359202 -- 5 -- 274.829238 -- 2.221
94 -- 1 -- 21100 -- 358889 -- 10 -- 754.291176 -- 0.76
76 -- 1 -- 9119 -- 358942 -- 9 -- 757.02165 -- 0.753
89 -- 1 -- 23617 -- 359101 -- 6 -- 758.940212 -- 0.804
151 -- 2 -- 9159 -- 359011 -- 5 -- 283.872603 -- 1.705
85 -- 1 -- 2688 -- 359015 -- 6 -- 767.418489 -- 0.8090000000000001
90 -- 1 -- 11150 -- 359106 -- 6 -- 769.663016 -- 0.783
150 -- 2 -- 9012 -- 358976 -- 5 -- 293.454939 -- 1.694
87 -- 1 -- 13549 -- 358959 -- 6 -- 774.679752 -- 0.79
78 -- 1 -- 17319 -- 358948 -- 7 -- 777.285382 -- 0.8169999999999999
88 -- 1 -- 20855 -- 359039 -- 7 -- 775.601958 -- 0.788
1 -- 1 -- 10120 -- 358737 -- 6 -- 774.838488 -- 0.521
80 -- 1 -- 5798 -- 359219 -- 7 -- 782.669678 -- 0.8159999999999999
79 -- 1 -- 22392 -- 359082 -- 5 -- 789.466327 -- 0.798
3 -- 1 -- 20868 -- 358874 -- 5 -- 785.7367389999999 -- 0.511
81 -- 1 -- 4669 -- 359147 -- 7 -- 793.427675 -- 0.796
4 -- 1 -- 7974 -- 358926 -- 7 -- 789.436979 -- 0.519
77 -- 1 -- 25257 -- 362477 -- 6 -- 795.719821 -- 0.8139999999999999
82 -- 1 -- 4005 -- 359004 -- 6 -- 790.413729 -- 0.8169999999999999
83 -- 1 -- 20727 -- 359146 -- 8 -- 784.220496 -- 0.774
91 -- 1 -- 21368 -- 359095 -- 7 -- 784.249367 -- 0.799
27 -- 1 -- 27422 -- 395033 -- 7 -- 803.23838 -- 0.537
92 -- 1 -- 20037 -- 358943 -- 6 -- 777.873769 -- 0.803
2 -- 1 -- 14619 -- 358518 -- 7 -- 807.960247 -- 0.529
18 -- 1 -- 8860 -- 358543 -- 6 -- 812.619555 -- 0.533
24 -- 1 -- 12348 -- 358830 -- 6 -- 807.502382 -- 0.531
93 -- 1 -- 25312 -- 362255 -- 8 -- 788.0506800000001 -- 0.83
95 -- 1 -- 13576 -- 358888 -- 7 -- 795.544127 -- 0.806
21 -- 1 -- 7974 -- 359061 -- 9 -- 821.231183 -- 0.535
26 -- 1 -- 5316 -- 359461 -- 6 -- 820.49535 -- 0.545
22 -- 1 -- 9724 -- 358955 -- 7 -- 824.315551 -- 0.546
96 -- 1 -- 19179 -- 359084 -- 7 -- 787.725198 -- 0.795
97 -- 1 -- 24474 -- 359016 -- 7 -- 779.388339 -- 0.8129999999999999
23 -- 1 -- 11100 -- 359092 -- 7 -- 830.635671 -- 0.554
16 -- 1 -- 4450 -- 359303 -- 8 -- 833.0966969999999 -- 0.551
12 -- 1 -- 1801 -- 358812 -- 9 -- 835.295676 -- 0.5610000000000001
98 -- 1 -- 8012 -- 359387 -- 8 -- 788.254918 -- 0.8
9 -- 1 -- 9768 -- 359286 -- 6 -- 840.313797 -- 0.548
13 -- 1 -- 12015 -- 359346 -- 6 -- 840.813663 -- 0.547
19 -- 1 -- 27664 -- 401747 -- 6 -- 841.799161 -- 0.55
