,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
avg_total_disk_t,64000000.0,42073036.51825913,34073036.51825913,34073036.51825913,64005000.0,2310155.077538769,3622811.4057028512,3622811.4057028512,4826413.206603302,6169084.542271135,2310155.077538769,3309654.827413707,3309654.827413707,4309154.577288644,5320660.330165083
no_cold_total_disk_t,0,0,0,0,0,3978000000.0,6602000000.0,6602000000.0,9008000000.0,11692000000.0,3978000000.0,5976000000.0,5976000000.0,7974000000.0,9996000000.0
wdisk_t,123938000000.0,80106000000.0,64114000000.0,64114000000.0,123947995000.0,620000000.0,3244000000.0,3244000000.0,5650000000.0,8334000000.0,620000000.0,2618000000.0,2618000000.0,4616000000.0,6638000000.0
no_cold_wdisk_t,0,0,0,0,0,0.0,2624000000.0,2624000000.0,5030000000.0,7714000000.0,0.0,1998000000.0,1998000000.0,3996000000.0,6018000000.0
avg_wdisk_t,62000000.0,40073036.51825913,32073036.51825913,32073036.51825913,62005000.0,310155.0775387694,1622811.4057028515,1622811.4057028515,2826413.2066033017,4169084.5422711354,310155.0775387694,1309654.8274137068,1309654.8274137068,2309154.5772886444,3320660.3301650826
wfail_alloc_disk_t,0,34056000000.0,18064000000.0,18064000000.0,0,0.0,2624000000.0,2624000000.0,5030000000.0,7714000000.0,0.0,1998000000.0,1998000000.0,3996000000.0,6018000000.0
avg_wfail_alloc_disk_t,0,17036518.259129565,9036518.259129565,9036518.259129565,0,0.0,1312656.328164082,1312656.328164082,2516258.1290645325,3858929.464732366,0.0,999499.7498749375,999499.7498749375,1998999.499749875,3010505.2526263134
int_frag_disk_t,123938000000.0,46050000000.0,46050000000.0,46050000000.0,123947995000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0,620000000.0
avg_int_frag_disk_t,62000000.0,23036518.259129565,23036518.259129565,23036518.259129565,62005000.0,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694,310155.0775387694
disk_t_utilization,0.03125,0.04753638352515932,0.058697439511392946,0.058697439511392946,0.031247558784469942,0.8657427457773927,0.552057442695388,0.552057442695388,0.4143864013266998,0.3241972105092442,0.8657427457773927,0.6042926239419588,0.6042926239419588,0.464128163454841,0.3758931929296728
no_cold_disk_t_util,0,0,0,0,0,1.0,0.6025446834292638,0.6025446834292638,0.441607460035524,0.3402326377009921,1.0,0.6656626506024097,0.6656626506024097,0.49887133182844245,0.3979591836734694
num_retries,0,3128,1129,1129,1999,0,1312,1312,2515,3857,0,999,999,1998,3009
num_retries_bucket,0,3128,1129,1129,0,0,1312,1312,2515,3857,0,999,999,1998,3009
num_retries_machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
total_run_time,999500.0,2563500.0,1564000.0,1564000.0,999500.0,999500.0,1655500.0,1655500.0,2257000.0,2928000.0,999500.0,1499000.0,1499000.0,1998500.0,2504000.0
avg_run_time,500.0,1282.391195597799,782.3911955977989,782.3911955977989,500.0,500.0,828.1640820410205,828.1640820410205,1129.064532266133,1464.7323661830915,500.0,749.8749374687344,749.8749374687344,999.7498749374687,1252.6263131565784
