,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
avg_wdisk_t,1824506.3044094625,220090.5331083485,228.27187683483785,22597.355293154502,31474.289993558163,40396.60709029207,22597.355293154502,29425.0266744928,36292.778256728605
wfail_alloc_disk_t,0,0,0,172897.75962,16892245.777740013,33693569.02427998,172897.75962,13099263.582959998,26068028.44170003
avg_wfail_alloc_disk_t,0,0.0,0,91.82037154540626,8970.921815050458,17893.557633712153,91.82037154540626,6956.592449792883,13843.8812754647
int_frag_disk_t,3435545371.2030177,414430473.8430202,429835.9440799997,42377922.25738993,42373842.280129924,42373242.12673993,42377922.25738993,42308061.64510996,42271273.01571997
avg_int_frag_disk_t,1824506.3044094625,220090.5331083485,228.27187683483785,22505.534921609098,22503.36817850766,22503.049456579887,22505.534921609098,22468.434224699926,22448.896981263926
disk_t_efficiency,0.004969257399137672,0.03975405919311492,0.9755597348004413,0.2873536950920971,0.22450395963489678,0.18404418977992099,0.2873536950920971,0.2364423760801363,0.20067879389964627
no_cold_disk_t_effi,0,0,0,0.33026939457393245,0.24973207672689146,0.2005718896750598,0.33026939457393245,0.2646291609392962,0.22054005992555448
avg_disk_t_efficiency,0.0049733304567180035,0.03978664365374403,0.9763593534661111,0.9653568868893727,0.5086631700934947,0.3515655974316203,0.9653568868893727,0.6106084911923267,0.44774984688703034
num_retries,0,0,0,58,1846,3557,58,1467,2882
num_retries_bucket,0,0,0,29,1817,3528,29,1438,2853
num_retries_machine,0,0,0,29,29,29,29,29,29
total_run_time,53948.48031,53948.48031,53948.48031,55025.19247000003,107527.25055,160026.83679000035,55025.19247000003,95674.14160000012,136456.4210300002
avg_run_time,28.65028163037706,28.65028163037706,28.65028163037706,29.22208840679768,57.10422227827934,84.98504343600656,29.22208840679768,50.80942198619231,72.46756294742443
