,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
avg_total_disk_t,60370565.614035085,11920484.912280701,15092641.403508771,15092641.403508771,4716.450438596491,3292583.197236845,3292979.4396929857,3291780.4020175436,3291772.311754388,2765605.63754386,2766415.343728073,3294508.323728073,2768375.1399561446,3295883.1067982498,4904938.593991218
wdisk_t,13763855420.780005,2717237020.7799993,3440488700.7799993,3440488700.7799993,441811.4799999999,750075429.7500005,750165773.0300002,749892392.4399999,749890547.8599999,629924546.1400002,630109159.1500007,750514358.5900002,630555992.6899999,750827809.1299995,1117692460.2099988
avg_wdisk_t,60367786.93324564,11917706.231491225,15089862.722719295,15089862.722719295,1937.7696491228066,3289804.5164473704,3290200.7589035095,3289001.72122807,3288993.630964912,2762826.956754387,2763636.6629385995,3291729.642938597,2765596.4591666665,3293104.42600877,4902159.913201749
wfail_alloc_disk_t,0,498654720.0,0,0,0,416236.6400000001,589731.5000000002,309386.0900000002,374130.46000000014,318932.99000000017,427359.24000000005,869854.84,888882.1400000001,1235179.4999999998,2276937.520000001
avg_wfail_alloc_disk_t,0,2187082.1052631577,0.0,0.0,0,1825.5992982456144,2586.541666666668,1356.95653508772,1640.9230701754393,1398.8289035087726,1874.3826315789477,3815.1528070175436,3898.605877192983,5417.45394736842,9986.568070175443
int_frag_disk_t,13763855420.780005,2218582300.7800007,3440488700.7799993,3440488700.7799993,441811.4799999999,749659193.1100005,749576041.5300003,749583006.3500003,749516417.4000003,629605613.1500002,629681799.9100004,749644503.75,629667110.55,749592629.6300005,1115415522.6900005
avg_int_frag_disk_t,60367786.93324564,9730624.126228074,15089862.722719295,15089862.722719295,1937.7696491228066,3287978.917149125,3287614.2172368434,3287644.7646929836,3287352.7078947383,2761428.127850878,2761762.2803070196,3287914.490131579,2761697.8532894733,3287686.9720614054,4892173.345131582
disk_t_utilization,4.602707894474367e-05,0.00023310132179388265,0.00018410831578030695,0.00018410831578030695,0.5891466104964642,0.0008439212080673109,0.000843819659479883,0.0008441270224984754,0.0008441290971291648,0.0010047277716502823,0.0010044336963981326,0.000843428067691665,0.0010037226347590078,0.000843076255874653,0.0005665067434019733
num_retries,0,58,0,0,0,163,217,96,112,104,172,331,345,467,843
num_retries_bucket,0,58,0,0,0,157,211,90,106,96,164,325,337,461,838
num_retries_machine,0,0,0,0,0,6,6,6,6,8,8,6,8,6,5
total_run_time,107535.07000000005,138700.9900000001,107535.07000000005,107535.07000000005,107535.07000000005,192319.71000000005,227517.77000000014,162566.07000000004,173855.89999999997,165119.03,195187.81000000006,277723.41000000003,282172.4499999999,348748.85,550108.4499999998
avg_run_time,471.6450438596493,608.337675438597,471.6450438596493,471.6450438596493,471.6450438596493,843.5075000000002,997.8849561403515,713.0090789473686,762.5258771929823,724.2062719298245,856.0868859649125,1218.0851315789475,1237.5984649122802,1529.6002192982455,2412.7563596491223
