,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
int_frag_disk_t,59970000000.0,25274000000.0,0.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0,510000000.0
avg_int_frag_disk_t,30000000.0,12643321.660830416,0.0,255127.56378189096,255127.56378189096,255127.56378189096,255127.56378189096,255127.56378189096,255127.56378189096
disk_t_efficiency,0.0625,0.07909313919442906,1.0,0.8841220698805838,0.6785471826205024,0.50050075112669,0.8841220698805838,0.6057575757575757,0.4620896902450301
no_cold_disk_t_effi,0,0,0,0.9466920514040933,0.713926776740847,0.5187793427230047,0.9466920514040933,0.6334394904458599,0.4774363898223716
avg_disk_t_efficiency,0.0625,0.11243002453607756,1.0,0.992014389547715,0.8224181535212051,0.6677472508183917,0.992014389547715,0.733873881385137,0.5938769823508245
num_retries,0,3333,0,14,699,1747,14,1053,2079
num_retries_bucket,0,3007,0,7,692,1740,7,1046,2072
num_retries_machine,0,326,0,7,7,7,7,7,7
total_run_time,999500.0,2666000.0,999500.0,1006500.0,1349000.0,1873000.0,1006500.0,1526000.0,2039000.0
avg_run_time,500.0,1333.6668334167084,500.0,503.5017508754377,674.8374187093547,936.968484242121,503.5017508754377,763.3816908454227,1020.0100050025012
