,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,cold_bucketing,cold_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,2,2,2,2,2,2,3,3,4,7
# cold starts,x,x,x,x,x,10,10,10,10,5,5,10,5,10,20
wdisk_t,1021753553633.8391,110367253473.83984,240565296353.84003,240565296353.84003,1021834927410.6404,20696580600.20004,20696580600.20004,11454893328.619982,11454893328.619982,11141932942.239986,20385683426.76004,34415856873.53999,34109080862.059998,47879518873.21001,91195428182.50003
avg_wdisk_t,511132342.98841375,55211232.35309647,120342819.58671337,120342819.58671337,511173050.23043543,10353467.033616828,10353467.033616828,5730311.820220101,5730311.820220101,5573753.34779389,10197940.683721881,17216536.705122557,17063071.967013504,23951735.304257132,45620524.35342673
wfail_alloc_disk_t,0,0,0,0,0,16701759853.190002,16701759853.190002,7460072581.609997,7460072581.609997,7468314905.529997,16712065390.050003,30421036126.530018,30435462825.350018,43884698126.20002,86148933183.28009
avg_wfail_alloc_disk_t,0,0.0,0.0,0.0,0,8355057.455322662,8355057.455322662,3731902.2419259613,3731902.2419259613,3736025.4654977475,8360212.801425714,15218127.126828423,15225344.084717367,21953325.725962993,43096014.598939516
int_frag_disk_t,1021753553633.8391,110367253473.83984,240565296353.84003,240565296353.84003,1021834927410.6404,3994820747.0099998,3994820747.0099998,3994820747.0099998,3994820747.0099998,3673618036.7099996,3673618036.7099996,3994820747.0099998,3673618036.7099996,3994820747.0099998,5046494999.219999
avg_int_frag_disk_t,511132342.98841375,55211232.35309647,120342819.58671337,120342819.58671337,511173050.23043543,1998409.578294147,1998409.578294147,1998409.578294147,1998409.578294147,1837727.8822961478,1837727.8822961478,1998409.578294147,1837727.8822961478,1998409.578294147,2524509.7544872435
disk_t_utilization,0.01903906250000087,0.15231250000000118,0.07615624999999993,0.07615624999999993,0.01903757518943716,0.4893184384540089,0.4893184384540089,0.6338614878336768,0.6338614878336768,0.6402662698839081,0.4931011600283113,0.3655671044420121,0.367646219902827,0.2928769623133145,0.1786135728736743
num_retries,0,0,0,0,1999,1679,1679,713,713,719,1686,3042,3051,4351,8464
num_retries_bucket,0,0,0,0,0,1666,1666,700,700,704,1671,3029,3036,4338,8451
num_retries_machine,0,0,0,0,0,13,13,13,13,15,15,13,15,13,13
total_run_time,8137377.679999994,8137377.679999994,8137377.679999994,8137377.679999994,8137377.679999994,15014623.850000005,15014623.850000005,11222384.509999987,11222384.509999987,11227457.749999985,15020543.710000005,20644199.66999997,20651810.609999966,26168886.579999983,43511617.41999998
avg_run_time,4070.7242021010475,4070.7242021010475,4070.7242021010475,4070.7242021010475,4070.7242021010475,7511.067458729367,7511.067458729367,5613.999254627307,5613.999254627307,5616.537143571779,7514.02886943472,10327.263466733351,10331.070840420192,13090.988784392188,21766.692056028005
