,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
int_frag_disk_t,59970000000.0,11994000000.0,0.0,420000000.0,420000000.0,420000000.0,420000000.0,420000000.0,420000000.0
avg_int_frag_disk_t,30000000.0,6000000.0,0.0,210105.05252626314,210105.05252626314,210105.05252626314,210105.05252626314,210105.05252626314,210105.05252626314
disk_t_efficiency,0.0625,0.16666666666666663,1.0,0.903298689561681,0.6530545573342046,0.47800095648015306,0.903298689561681,0.6217729393468119,0.47686068702290074
no_cold_disk_t_effi,0,0,0,0.9688261081344374,0.6856256463288521,0.4945300845350572,0.9688261081344374,0.651063829787234,0.4933035714285714
avg_disk_t_efficiency,0.0625,0.16666666666666666,1.0,0.993426860489068,0.7823147684953587,0.5892957443634098,0.993426860489068,0.7437955088655439,0.6126407501996611
num_retries,0,1999,0,8,856,1977,8,1010,1987
num_retries_bucket,0,1999,0,4,852,1973,4,1006,1983
num_retries_machine,0,0,0,4,4,4,4,4,4
total_run_time,999500.0,1999000.0,999500.0,1003500.0,1427500.0,1988000.0,1003500.0,1504500.0,1993000.0
avg_run_time,500.0,1000.0,500.0,502.00100050025014,714.1070535267634,994.4972486243122,502.00100050025014,752.6263131565782,996.9984992496248
