,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,2,3
# cold starts,x,x,x,x,x,10,10,10,10,20,10,10,10,5,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,0,0,1,1,1
cores_t_utilization,0.062499999999997446,0.5,0.25000000000000067,0.25000000000000067,0.05000000000000071,0.9419958726057605,0.6969452652953401,0.6969452652953401,0.5149391363419441,0.3900672024588856,0.9419958726057605,0.5260776407493645,0.5260776407493645,0.5272414264408909,0.38570171979841383
total_mem_t,1041584343040.0,130198042880.0,260396085760.0,260396085760.0,1367079450240.0,31204491694.41004,37316826320.23996,37316826320.23996,48526886879.38001,62645962922.990074,31204491694.41004,48937815561.41003,48937815561.41003,48628451064.160034,62952017991.46992
avg_total_mem_t,521052697.86893445,65131587.23361681,130263174.46723361,130263174.46723361,683881665.9529765,15610050.872641342,18667747.033636797,18667747.033636797,24275581.230305158,31338650.78688848,15610050.872641342,24481148.354882456,24481148.354882456,24326388.72644324,31491754.873171546
no_cold_total_mem_t,0,0,0,0,0,30183183534.410046,36295518160.239944,36295518160.239944,47505578719.38002,60552569002.990036,30183183534.410046,47916507401.41001,47916507401.41001,48151037944.16002,61930709831.46988
wmem_t,1018469640072.8689,107083339912.87021,237281382792.86978,237281382792.86978,1343964747272.872,8089788727.280004,14202123353.109997,14202123353.109997,25412183912.24999,39531259955.86002,8089788727.280004,25823112594.27999,25823112594.27999,25513748097.03,39837315024.339935
no_cold_wmem_t,0,0,0,0,0,7089689684.6799965,13202024310.509993,13202024310.509993,24412084869.64998,37481428904.76005,7089689684.6799965,24823013551.67998,24823013551.67998,25046109512.499992,38837215981.73997
avg_wmem_t,509489564.81884384,53568454.183526866,118700041.41714346,118700041.41714346,672318532.9028875,4046917.8225512775,7104613.983546772,7104613.983546772,12712448.180215102,19775517.73679841,4046917.8225512775,12918015.304792391,12918015.304792391,12763255.676353175,19928621.82308151
wfail_alloc_mem_t,0,0,0,0,0,76291883.55,8701806650.879993,8701806650.879993,20225441822.5,33603431086.85,76291883.55,18592950449.909996,18592950449.909996,18604050513.599995,33810743703.290012
avg_wfail_alloc_mem_t,0,0.0,0.0,0.0,0,38165.02428714357,4353079.865372683,4353079.865372683,10117779.801150575,16810120.603726864,38165.02428714357,9301125.787848923,9301125.787848923,9306678.596098047,16913828.76602802
int_frag_mem_t,1018469640072.8689,107083339912.87021,237281382792.86978,237281382792.86978,1343964747272.872,8013496843.730002,5500316702.229992,5500316702.229992,5186742089.749998,5927828869.009987,8013496843.730002,7230162144.370004,7230162144.370004,6909697583.430002,6026571321.049993
