,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
mem_t_utilization,0.06242243387318658,0.16645982366183087,0.24968973549274642,0.24968973549274642,0.047559949617665964,0.5315854307048817,0.5096609045200988,0.5096609045200988,0.43087163536501805,0.3860324165513801,0.5315854307048817,0.5012503521931,0.5012503521931,0.42956525841147253,0.3679486231430832
no_cold_mem_t_util,0,0,0,0,0,0.5525043959488927,0.528746738391014,0.528746738391014,0.44408355546614364,0.3963940784872788,0.5525043959488927,0.5196560546015576,0.5196560546015576,0.4426891170313163,0.3772607002597994
total_disk_t,127936000000.0,47976000000.0,31984000000.0,31984000000.0,127945995000.0,5130000000.0,6982000000.0,6982000000.0,9240000000.0,10854000000.0,5130000000.0,7112000000.0,7112000000.0,9064000000.0,11046000000.0
avg_total_disk_t,64000000.0,24000000.0,16000000.0,16000000.0,64005000.0,2566283.1415707855,3492746.3731865934,3492746.3731865934,4622311.155577789,5429714.857428715,2566283.1415707855,3557778.8894447223,3557778.8894447223,4534267.133566784,5525762.8814407205
no_cold_total_disk_t,0,0,0,0,0,4490000000.0,6342000000.0,6342000000.0,8600000000.0,10214000000.0,4490000000.0,6472000000.0,6472000000.0,8424000000.0,10406000000.0
wdisk_t,123938000000.0,43978000000.0,27986000000.0,27986000000.0,123947995000.0,1132000000.0,2984000000.0,2984000000.0,5242000000.0,6856000000.0,1132000000.0,3114000000.0,3114000000.0,5066000000.0,7048000000.0
no_cold_wdisk_t,0,0,0,0,0,512000000.0,2364000000.0,2364000000.0,4622000000.0,6236000000.0,512000000.0,2494000000.0,2494000000.0,4446000000.0,6428000000.0
avg_wdisk_t,62000000.0,22000000.0,14000000.0,14000000.0,62005000.0,566283.1415707854,1492746.3731865934,1492746.3731865934,2622311.155577789,3429714.857428714,566283.1415707854,1557778.8894447223,1557778.8894447223,2534267.1335667833,3525762.8814407205
wfail_alloc_disk_t,0,15992000000.0,0,0,0,16000000.0,1868000000.0,1868000000.0,4126000000.0,5740000000.0,16000000.0,1998000000.0,1998000000.0,3950000000.0,5932000000.0
avg_wfail_alloc_disk_t,0,8000000.0,0.0,0.0,0,8004.0020010005,934467.2336168084,934467.2336168084,2064032.016008004,2871435.7178589297,8004.0020010005,999499.7498749375,999499.7498749375,1975987.9939969985,2967483.7418709355
int_frag_disk_t,123938000000.0,27986000000.0,27986000000.0,27986000000.0,123947995000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0,1116000000.0
avg_int_frag_disk_t,62000000.0,14000000.0,14000000.0,14000000.0,62005000.0,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849,558279.1395697849
disk_t_utilization,0.03125,0.08333333333333337,0.125,0.125,0.031247558784469942,0.7793372319688109,0.5726152964766542,0.5726152964766542,0.43268398268398267,0.3683434678459554,0.7793372319688109,0.5621484814398201,0.5621484814398201,0.4410856134157105,0.3619409741082745
no_cold_disk_t_util,0,0,0,0,0,0.8859688195991091,0.6272469252601702,0.6272469252601702,0.46255813953488367,0.38946543959271585,0.8859688195991091,0.6146477132262052,0.6146477132262052,0.4722222222222222,0.3822794541610609
num_retries,0,1999,0,0,1999,16,942,942,2071,2878,16,1007,1007,1983,2974
num_retries_bucket,0,1999,0,0,0,8,934,934,2063,2870,8,999,999,1975,2966
num_retries_machine,0,0,0,0,0,8,8,8,8,8,8,8,8,8,8
total_run_time,999500.0,1999000.0,999500.0,999500.0,999500.0,1007500.0,1470500.0,1470500.0,2035000.0,2438500.0,1007500.0,1503000.0,1503000.0,1991000.0,2486500.0
avg_run_time,500.0,1000.0,500.0,500.0,500.0,504.00200100050023,735.6178089044522,735.6178089044522,1018.0090045022512,1219.8599299649825,504.00200100050023,751.8759379689845,751.8759379689845,995.9979989994997,1243.871935967984
