,whole_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,quartile_bucketing,quartile_bucketing,quartile_bucketing
#buckets,x,x,x,1,2,3,1,2,3
# cold starts,x,x,x,10,10,10,10,10,10
int_frag_disk_t,59970000000.0,27634000000.0,0.0,450000000.0,450000000.0,450000000.0,450000000.0,450000000.0,450000000.0
avg_int_frag_disk_t,30000000.0,13823911.95597799,0.0,225112.55627813906,225112.55627813906,225112.55627813906,225112.55627813906,225112.55627813906,225112.55627813906
disk_t_efficiency,0.0625,0.07233842368097276,1.0,0.8968147151188874,0.6475542597991577,0.5569796600724436,0.8968147151188874,0.6256651017214397,0.4808756314649988
no_cold_disk_t_effi,0,0,0,0.9613339777670372,0.6795353604373078,0.5800524934383202,0.9613339777670372,0.6553542009884679,0.4976232174130598
avg_disk_t_efficiency,0.0625,0.11080063841444533,1.0,0.9929560368419503,0.7795911844811295,0.7246397321467751,0.9929560368419503,0.7525776777277527,0.617085955258331
num_retries,0,3465,0,10,868,1370,10,976,1938
num_retries_bucket,0,2976,0,5,863,1365,5,971,1933
num_retries_machine,0,489,0,5,5,5,5,5,5
total_run_time,999500.0,2732000.0,999500.0,1004500.0,1433500.0,1684500.0,1004500.0,1487500.0,1968500.0
avg_run_time,500.0,1366.6833416708355,500.0,502.50125062531265,717.1085542771385,842.6713356678339,502.50125062531265,744.1220610305153,984.7423711855928
