,whole_machine,boxing_machine,boxing_machine,boxing_machine,declare_resources,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,k_means_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing,cold_bucketing
#buckets,x,x,x,x,x,1,2,2,3,4,1,2,2,3,4
# cold starts,x,x,x,x,x,10,10,10,10,10,10,10,10,10,10
diagonal?,x,"[0.125, 0.25, 0.5, 1]","[0.25, 0.5, 1]","[0.25, 0.5, 0.75, 1]",x,1,0,1,1,1,1,0,1,1,1
cores_t_utilization,0.06397992023593801,0.5118393618875148,0.25591968094375595,0.25591968094375595,0.05118393618875172,0.48179566928762096,0.34735045500922757,0.3286507159712735,0.2584307215374896,0.2108465903816743,0.48179566928762096,0.3965222072236301,0.4042602925403703,0.3186890362786583,0.26675824622672983
no_cold_cores_t_util,0,0,0,0,0,0.5094440910793209,0.36064744104483226,0.3403764652223332,0.2651551605943461,0.21497438154724857,0.5094440910793209,0.4144402560194672,0.42297079382983394,0.32961919515487836,0.274002395632193
total_mem_t,311333076480.0,38916634560.0,77833269120.0,77833269120.0,408624662880.0,12807130586.124998,17283708729.98899,15030127962.863987,16915509995.17201,19065464810.05899,12807130586.124998,17394272164.05904,15303093606.420027,18294035407.882008,20943682298.5641
avg_total_mem_t,156921913.5483871,19615239.19354839,39230478.38709678,39230478.38709678,205960011.53225806,6455206.948651712,8711546.73890574,7575669.336120961,8525962.69917944,9609609.279263604,6455206.948651712,8767274.276239436,7713252.825816546,9220783.97574698,10556291.481131097
no_cold_total_mem_t,0,0,0,0,0,10249586010.125004,14726164153.988981,12472583386.863993,14357965419.17201,16507920234.058992,10249586010.125004,14836727588.059015,12745549030.420021,15736490831.88197,18386137722.564064
wmem_t,307248948891.1756,34832506971.17602,73749141531.17593,73749141531.17593,404540535291.1762,8723002997.301,13199581141.164984,10946000374.039991,12831382406.347984,14981337221.235016,8723002997.301,13310144575.23497,11218966017.595968,14209907819.058044,16859554709.740005
no_cold_wmem_t,0,0,0,0,0,6199318211.988005,10675896355.851995,8422315588.7269945,10307697621.03498,12457652435.92202,6199318211.988005,10786459789.921972,8695281232.28301,11686223033.745043,14335869924.42701
avg_wmem_t,154863381.49756834,17556707.14272985,37171946.33627819,37171946.33627819,203901479.48143962,4396674.897833166,6653014.68808719,5517137.285302415,6467430.648360879,7551077.228445069,4396674.897833166,6708742.225420852,5654720.774997968,7162251.92492845,8497759.430312503
wfail_alloc_mem_t,0,0,0,0,0,83694270.823,4682955581.243027,2309200512.8420043,4497485092.418012,6729301810.330009,83694270.823,5006941130.082994,2847201293.8560023,5897095618.672006,8594751665.29901
avg_wfail_alloc_mem_t,0,0.0,0.0,0.0,0,42184.612309979835,2360360.6760297515,1163911.5488114941,2266877.5667429497,3391785.186658271,42184.612309979835,2523659.8437918318,1435081.2973064529,2972326.420701616,4332032.08936442
int_frag_mem_t,307248948891.1756,34832506971.17602,73749141531.17593,73749141531.17593,404540535291.1762,8639308726.478003,8516625559.922003,8636799861.197998,8333897313.929986,8252035410.904989,8639308726.478003,8303203445.1520195,8371764723.740022,8312812200.386022,8264803044.441026
avg_int_frag_mem_t,154863381.49756834,17556707.14272985,37171946.33627819,37171946.33627819,203901479.48143962,4354490.285523186,4292654.012057461,4353225.736490927,4200553.0816179365,4159292.041786789,4354490.285523186,4185082.381629042,4219639.477691543,4189925.504226825,4165727.340948098
mem_t_utilization,0.013118193656133315,0.10494554924905564,0.05247277462452893,0.05247277462452893,0.009994814214195347,0.3188948188947698,0.2362992603397459,0.2717293957120619,0.24144276997794978,0.21421599890232823,0.3188948188947698,0.23479726833657977,0.2668824810109418,0.22324913545670255,0.19500523024569094
no_cold_mem_t_util,0,0,0,0,0,0.3951640382485655,0.27503888696228207,0.3247336716467819,0.2820920429804601,0.24535300272292915,0.3951640382485655,0.27298929457981047,0.3177789978658563,0.25738062198283274,0.22028921240845678
total_disk_t,311333076480.0,38916634560.0,77833269120.0,77833269120.0,311357399376.6001,10253844368.872957,10455838017.041986,10879559972.007957,10621420675.220932,10262598397.124954,10253844368.872957,10174920624.041958,10134679655.278942,10467538819.124962,10758361964.916931
avg_total_disk_t,156921913.5483871,19615239.19354839,39230478.38709678,39230478.38709678,156934173.0728831,5168268.331085159,5270079.645686485,5483649.179439494,5353538.646784744,5172680.643712174,5168268.331085159,5128488.217763084,5108205.471410757,5275977.227381533,5422561.474252486
no_cold_total_disk_t,0,0,0,0,0,7696299792.873014,7898293441.042007,8322015396.008014,8063876099.221061,7705053821.125019,7696299792.873014,7617376048.042001,7577135079.279015,7909994243.125002,8200817388.917018
wdisk_t,310650619507.19086,38234177587.19104,77150812147.19107,77150812147.19107,310674942403.7913,9571387396.063986,9773381044.233007,10197102999.199028,9938963702.412018,9580141424.31601,9571387396.063986,9492463651.233007,9452222682.469976,9785081846.316032,10075904992.10798
no_cold_wdisk_t,0,0,0,0,0,7015772167.505974,7217765815.674998,7641487770.640996,7383348473.853988,7024526195.75799,7015772167.505974,6936848422.67499,6896607453.911988,7229466617.757987,7520289763.550015
avg_wdisk_t,156577933.21935022,19271258.864511613,38886498.05806001,38886498.05806001,156590192.74384645,4824288.00204838,4926099.316649701,5139668.850402736,5009558.317747992,4828700.314675408,4824288.00204838,4784507.8887263145,4764225.14237398,4931996.898344775,5078581.145215716
wfail_alloc_disk_t,0,0,0,0,0,21310842.946000002,951514943.0909991,648808022.4170005,972709839.1899999,941599292.2839987,21310842.946000002,813514224.0369997,487768734.32999974,959663240.9939998,1353834789.9099975
avg_wfail_alloc_disk_t,0,0.0,0.0,0.0,0,10741.352291330646,479594.22534828587,327020.172589214,490277.13668850804,474596.4174818542,10741.352291330646,410037.41130897164,245851.17657762085,483701.23033971764,682376.4062046359
int_frag_disk_t,310650619507.19086,38234177587.19104,77150812147.19107,77150812147.19107,310674942403.7913,9550076553.117983,8821866101.142,9548294976.781986,8966253863.22198,8638542132.032017,9550076553.117983,8678949427.19599,8964453948.139997,8825418605.322025,8722070202.198004
avg_int_frag_disk_t,156577933.21935022,19271258.864511613,38886498.05806001,38886498.05806001,156590192.74384645,4813546.649757048,4446505.091301411,4812648.677813501,4519281.181059466,4354103.897193557,4813546.649757048,4374470.477417333,4518373.96579637,4448295.668005053,4396204.73901109
disk_t_utilization,0.0021920477596699683,0.017536382077355084,0.008768191038677098,0.008768191038677098,0.0021918765193157386,0.06655620548334718,0.06527042325030685,0.06272836167683471,0.06425288986067945,0.0664994328337094,0.06655620548334718,0.06707246159703661,0.06733878090103107,0.0651974628039621,0.0634350261716835
no_cold_disk_t_util,0,0,0,0,0,0.08842270229613824,0.08616134997349867,0.0817743771170455,0.08439212321637846,0.08832224163071001,0.08842270229613824,0.08933885121004848,0.08981331575149643,0.08603389641635928,0.08298290195885849
num_retries,0,0,0,0,1984,22,2162,1963,2605,3273,22,1023,820,2009,3065
num_retries_bucket,0,0,0,0,0,11,2151,1952,2594,3262,11,1012,809,1998,3054
num_retries_machine,0,0,0,0,0,11,11,11,11,11,11,11,11,11,11
total_run_time,2432289.6599999946,2432289.6599999946,2432289.6599999946,2432289.6599999946,2432289.6599999946,2517518.6079999916,6159233.061999981,4926173.740999986,6186920.339999991,7503078.93999999,2517518.6079999916,5270320.041000003,4171624.349999997,6010268.521999989,7643018.968999989
avg_run_time,1225.9524495967714,1225.9524495967714,1225.9524495967714,1225.9524495967714,1225.9524495967714,1268.9105887096732,3104.4521481854745,2482.950474294348,3118.407429435479,3781.793820564511,1268.9105887096732,2656.411310987905,2102.633240927418,3029.369214717736,3852.3281093749947
